RENE_FINAL;ABONO_OFERTADO;CONSUMO_SBIF;EDAD;SEXO_BIN;SCORE;DEUDA_PROM3;PROME_UTILIZACION_3MESES;PROME_LINEA_CREDITO_3MESES;PROME_CANT_INSTITU_3MESES;SUMA_MOROSA_3MESES;Deuda_Char_008;Pago_Char_008
1;;869;36;0;489;548031;0.83;219;2;0;1;10
1;326630;27166;37;0;479;4233562;0.89;5734;7;0;5;6
0;11860;3074;56;0;417;95586;0.163333333;169;3;500;1;0
0;13200;1350;36;0;414;227871;0.25;667;2;163;4;0
1;96520;2903;70;1;404;1109743;0.37;959;3;87;0;0
0;70562;729;34;0;474;474133;0.946666667;44;2;0;3;12
0;13480;2313;53;1;444;112908;0.046666667;3882;4;34;3;0
0;48770;7105;46;0;431;1016762;0.846666667;5;3;245;7;8
1;61480;2580;43;1;427;924319;0.95;295;3;66;5;5
1;;4146;46;1;500;4203767;0.7;0;1;0;9;3
0;0;5687;62;1;482;344050;0.573333333;3499;6;0;4;9
0;12060;115;37;0;461;110389;1;0;1;0;2;1
0;0;8602;30;0;517;5587255;0.426666667;8743;2;0;6;5
0;11000;3130;31;0;387;200508;0.99;27;2;1004;2;0
1;0;11201;56;1;470;640519;0.97;3407;4;0;2;0
0;10658;653;31;1;473;377865;1;0;2;72;7;8
1;24090;242;28;0;436;250382;0.833333333;0;1;14;4;6
0;39410;17402;36;1;461;622415;0.623333333;765;3;276;5;10
0;44714;7972;65;0;527;7318435;0.643333333;10367;2;0;6;2
0;28099;358;40;1;422;170318;0.853333333;0;3;2;4;10
0;27220;769;65;0;440;327389;0.436666667;647;2;70;8;11
0;22660;172;44;1;449;165402;0.103333333;0;1;45;3;30
0;74120;1433;33;0;382;1406948;0.933333333;0;1;147;1;0
1;58870;3541;66;0;458;790412;0.53;1987;4;384;8;4
0;36350;841;49;0;435;220193;0.886666667;801;3;32;6;14
0;6130;120;35;0;375;114335;1;0;1;45;1;1
0;305270;28597;60;0;497;3858417;0.836666667;1773;4;1425;6;7
0;11680;1875;33;1;387;109444;1;0;2;295;2;0
0;116190;39908;51;0;421;723258;1;35;4;851;3;0
0;63913;6285;34;0;517;4586868;0.946666667;301;2;0;3;3
